pk_local;Region Code;Address Number;City;Country;Customer Address 1;Customer Address 2;Customer Address 3;Customer Address 4;State;Zip Code
61f99cb6cc524d0d87869f9e980eea63c79aaaa44241406f4c4298a66c114314;4;10021986;Livonia;US;S&PD-Special Accounts Sales;PO Box 537940;Não Informado;Não Informado;MI;48153-7940
fecad1424b86796be794954a7c1ffe2a759a0cfb21551d51354d17f57edb500a;2;10017576;New Orleans;US;PO Box 10455;Não Informado;Não Informado;Não Informado;LA;70181
dbc8d09d7e5da7acb47acf32fe3ebb41b00b3a64edaba45ec0f4552210b469a3;5;10021240;"";"";"";"";"";"";"";""
20efff99f6e2dea594d4c73cd4573ac9a5d600a01a7958f991eadbcce60cf7bf;5;10015789;Jeddah;AU;PO Box 14311;Não Informado;Não Informado;Não Informado;Não Informado;21424
b0d0d5b5dd98824c3ca6250992d356cb122ce944e201f77bf0215ab45d516f02;1;10025033;Billings;US;226 North 13th;Não Informado;Não Informado;Não Informado;MT;59101
79f4927938975b87aaf4a77b7acc77f4026fc3a471a24f2efca311fc8e8ec6cf;5;10002412;"";"";"";"";"";"";"";""
0559bc54e9c7e4af201ef96fa90aa79425aea7455a1a286cb5c5b553f1786e26;5;10007258;"";"";"";"";"";"";"";""
97b11dc14c297db75cde51e43a1c1ad924dcaaf4ab296dda0243448b7ca39067;2;10016588;Schertz;US;6025 Corridor Parkway;Não Informado;Não Informado;Não Informado;TX;78154-3214
c341900e4190dde574692aa54e2d5f3e957fbec93473c95f18bd752b0e00a181;2;10025040;San Antonio;US;6127 San Pedro Avenue;Não Informado;Não Informado;Não Informado;TX;78216
7b02f9f3e498921eec653bf18ab77608454d3eb6b30ed5b0601c2fe7b7d40727;4;10025287;Brookfield;US;PO Box 366;Não Informado;Não Informado;Não Informado;WI;53008
8fc9bc1ae41b56136a12d3617101e7c39b4c4e1c790ebf3c48650e12836b5c96;5;10005236;"";"";"";"";"";"";"";""
a7ea0e1da434eccd4d53bf881b512bf81dd7345ef41096f01421064e6b54f925;5;10011623;"";"";"";"";"";"";"";""
2bccaf4d67e421f2292e5427b21b21047adf62dac7642cac7f3aae1758343fc7;2;10009907;Elizabethtown;US;PO Box 2143;Não Informado;Não Informado;Não Informado;KY;42702-2143
2ec8f51599e237afc95606eb20d605f440a846cdcffc4cd7f8498aed141980ab;4;10018644;Overland Park;US;Attention  Accounts Payable Department;PO Box 12990;Não Informado;Não Informado;KS;66282-2990
8273922f49c25b61af2a3991e7cb9307ff409ab515e1e74c93e788dc2bf3d170;3;10025038;Mechanicsburg;US;PO Box 568;Não Informado;Não Informado;Não Informado;PA;17055
a0d64ccd1f39cda98f6add7dfc663fbb48f60396b09f5a18d51de71717d23796;4;10026522;Fairmount;US;4353 W 1900 N-48;Não Informado;Não Informado;Não Informado;IN;46928
57479c462192b27957dbdbd8e87b8fc84adf3c3ed6191aa6654404084c7f2407;2;10025515;Jackson;US;3650 Bay Street;Não Informado;Não Informado;Não Informado;MS;39213
